A2WC012E v68 AF Correction 16-bit RAM literal trace
target float: 0xFFFFB538
target mirror: 0xFFFFB330

16-bit sign-extended refs in FFFFB000-FFFFB8FF: 1843
pc=0x0179D0 op=9332 literal=0x017A38 word=B0B0 value=0xFFFFB0B0 -> r3
pc=0x0179E8 op=9027 literal=0x017A3A word=B1F9 value=0xFFFFB1F9 -> r0
pc=0x0179FC op=931B literal=0x017A36 word=B0AC value=0xFFFFB0AC -> r3
pc=0x017A82 op=900E literal=0x017AA2 word=B0B4 value=0xFFFFB0B4 -> r0
pc=0x017AB6 op=920D literal=0x017AD4 word=B0B8 value=0xFFFFB0B8 -> r2
pc=0x017AC2 op=9207 literal=0x017AD4 word=B0B8 value=0xFFFFB0B8 -> r2
pc=0x017ACC op=9102 literal=0x017AD4 word=B0B8 value=0xFFFFB0B8 -> r1
pc=0x017B04 op=918D literal=0x017C22 word=B090 value=0xFFFFB090 -> r1
pc=0x017B08 op=9D8E literal=0x017C28 word=B0E0 value=0xFFFFB0E0 -> r13
pc=0x017B12 op=9387 literal=0x017C24 word=B218 value=0xFFFFB218 -> r3
pc=0x017B14 op=9087 literal=0x017C26 word=B304 value=0xFFFFB304 -> r0
pc=0x017B20 op=9283 literal=0x017C2A word=B380 value=0xFFFFB380 -> r2
pc=0x017B3C op=9376 literal=0x017C2C word=B4F8 value=0xFFFFB4F8 -> r3
pc=0x017B40 op=9176 literal=0x017C30 word=B028 value=0xFFFFB028 -> r1
pc=0x017B48 op=9271 literal=0x017C2E word=B204 value=0xFFFFB204 -> r2
pc=0x017B5C op=9369 literal=0x017C32 word=B024 value=0xFFFFB024 -> r3
pc=0x017B64 op=9066 literal=0x017C34 word=B1E6 value=0xFFFFB1E6 -> r0
pc=0x017B78 op=945D literal=0x017C36 word=B0BC value=0xFFFFB0BC -> r4
pc=0x017B84 op=9E59 literal=0x017C3A word=B0C4 value=0xFFFFB0C4 -> r14
pc=0x017B88 op=9656 literal=0x017C38 word=B0C0 value=0xFFFFB0C0 -> r6
pc=0x017B9C op=934E literal=0x017C3C word=B09C value=0xFFFFB09C -> r3
pc=0x017BCA op=9338 literal=0x017C3E word=B0C8 value=0xFFFFB0C8 -> r3
pc=0x017BD6 op=9E33 literal=0x017C40 word=B0FD value=0xFFFFB0FD -> r14
pc=0x017C9A op=903C literal=0x017D16 word=B1E6 value=0xFFFFB1E6 -> r0
pc=0x017CE4 op=9018 literal=0x017D18 word=B0FD value=0xFFFFB0FD -> r0
pc=0x017D58 op=9A48 literal=0x017DEC word=B0D0 value=0xFFFFB0D0 -> r10
pc=0x017D64 op=9343 literal=0x017DEE word=B0C8 value=0xFFFFB0C8 -> r3
pc=0x017D7A op=9C39 literal=0x017DF0 word=B0D4 value=0xFFFFB0D4 -> r12
pc=0x017D9A op=932A literal=0x017DF2 word=B0DC value=0xFFFFB0DC -> r3
pc=0x017D9E op=9929 literal=0x017DF4 word=B0EC value=0xFFFFB0EC -> r9
pc=0x017DA6 op=9C26 literal=0x017DF6 word=B0F8 value=0xFFFFB0F8 -> r12
